MCG.L, Mobico Group PLC
APTD.L, Aptitude Software Group PLC
PHAR.L, Pharos Energy PLC
RGL.L, Regional REIT LD
SNWS.L, Smiths News PLC
BMS.L, Braemar PLC
TET.L, Treatt PLC
HLCL.L, Helical PLC
MOTR.L, Motorpoint Group PLC
ENQ.L, Enquest PLC
ENRG.L, VH Global Energy Infrastructure PLC
XAR.L, Xaar PLC
CNE.L, Capricorn Energy PLC
SSIT.L, Seraphim Space Investment Trust PLC
TMIP.L, Taylor Maritime Limited
TLW.L, Tullow Oil PLC
GMS.L, Gulf Marine Services PLC
